participant_id,activity_date,day_type,awake_wear_minutes,mvpa_1_5_min,mvpa_5_10_min,mvpa_10_plus_min,inactivity_20_30_min,inactivity_30_plus_min,valid_day
P001,2026-01-05,Monday,690,12,8,5,28,55,1
P001,2026-01-06,Tuesday,720,10,6,4,32,58,1
P001,2026-01-07,Wednesday,705,14,7,6,25,50,1
P001,2026-01-10,Saturday,750,18,10,7,20,45,1
P001,2026-01-11,Sunday,735,16,9,6,22,48,1
P002,2026-01-08,Thursday,660,8,5,3,35,62,1
P002,2026-01-09,Friday,675,9,4,2,36,64,1
P002,2026-01-10,Saturday,700,11,6,3,30,57,1
P002,2026-01-11,Sunday,690,10,5,4,31,59,1
P003,2026-01-07,Wednesday,650,7,4,2,38,65,1
P003,2026-01-08,Thursday,620,8,4,2,39,66,1
P003,2026-01-09,Friday,590,6,3,1,41,70,0
P003,2026-01-10,Saturday,640,9,5,2,34,61,1
P004,2026-01-05,Monday,710,13,7,4,29,52,1
P004,2026-01-06,Tuesday,700,12,6,4,30,54,1
P004,2026-01-07,Wednesday,695,11,6,3,31,56,1
P004,2026-01-08,Thursday,720,14,7,5,27,50,1
P004,2026-01-09,Friday,705,13,7,4,28,51,1
P005,2026-01-08,Thursday,680,9,5,3,33,60,1
P005,2026-01-09,Friday,690,10,5,3,32,59,1
P005,2026-01-10,Saturday,715,12,6,4,28,54,1
P005,2026-01-11,Sunday,705,11,6,4,29,55,1
P006,2026-01-08,Thursday,710,15,8,5,24,47,1
P006,2026-01-09,Friday,725,13,7,4,26,49,1
P006,2026-01-10,Saturday,745,17,9,6,21,44,1
P006,2026-01-11,Sunday,730,14,8,5,23,46,1
